composition,esw
Li3 Cl1 O3.5,1.0014900428124989
Li3 B0.5 Se1 C0.5 N0.5 F2,1.0253176490659015
Li3 B0.75 Te1 Cl0.25 O1 F3,1.0270893152083482
Na3 Al0.875 S1 I0.125 F3.5,1.1223678779166688
Na3 Al0.75 S1 I0.25 F3,1.1223678779166688
Na3 Al0.625 S1 I0.375 F2.5,1.1223678779166688
Na3 Al0.375 S1 F2.125,1.1223678779166688
Li3 B0.875 Br0.125 O1 F3.5,1.1479451401562508
Li3 B0.5 H1 N0.5 O1 F2,1.182210899959999
Na3 B0.875 I0.125 O1 F3.5,1.2158142760416666
Na3 B0.75 I0.25 O1 F3,1.2158142760416666
Na3 Al0.5 C0.5 N0.5 O1 F2,1.2376606896767213
Li3 B0.5 H2 I0.5 O3,1.2820281080199945
Na2 Al0.875 H1 I0.125 O1 F3.5,1.2906163052866695
Na2 Al0.75 H1 I0.25 O1 F3,1.2906163052866695
Na2 Al0.625 H1 I0.375 O1 F2.5,1.2906163052866695
Na2 Al0.5 H1 I0.5 O1 F2,1.2906163052866695
Na2 Al0.375 H1 I0.625 O1 F1.5,1.2906163052866695
Li3 B0.875 Te1 F3.625,1.3112839738194448
Li3 Te1 Cl1 O3,1.3148373158333337
Li2 H1 I0.25 O2 F0.75,1.3152906609821429
Li3 B0.5 I0.5 O1 F2,1.3938207834375127
K2 Al0.875 H1 I0.125 O1 F3.5,1.429791633620004
K2 Al0.75 H1 I0.25 O1 F3,1.429791633620004
K2 Al0.875 H1 Br0.125 O1 F3.5,1.429791633620004
K2 Al0.75 H1 Br0.25 O1 F3,1.429791633620004
K2 Al0.625 H1 Br0.375 O1 F2.5,1.429791633620004
Na2 Al0.375 H1 Cl1.5 O1 F0.625,1.429791633620005
Li3 C0.5 N0.5 Cl0.5 O3,1.5446862081634993
Li3 Se1 Cl1 O4,1.6765160476128536
Li2 Al0.25 B0.75 H1 Cl1 O1 F3,1.7380162560307166
Li2 H1 I0.125 O1 F0.875,1.7434615556249995
Li2 H1 I0.25 O1 F0.75,1.7434615556249995
Li2 H1 I0.375 O1 F0.625,1.7434615556249995
Li2 H1 I0.5 O1 F0.5,1.7434615556249995
Li2 H1 I0.625 O1 F0.375,1.7434615556249995
Na2 Al0.125 B0.875 H1 Cl0.5 O1 F3.5,1.769785001536668
Li3 B0.5 H2 Cl0.5 O3,1.780207625494996
Na3 B0.875 Br0.125 O1 F3.5,1.8308735160416665
Na3 B0.75 Br0.25 O1 F3,1.8308735160416665
Li3 Cl1 O4,1.9002308003124986
Li3 B1 Cl0.5 O1 F3.5,1.9756130304062507
Li3 C0.625 S1 N0.625 Cl0.375,1.9785281361607119
Li3 C0.5 S1 N0.5 Cl0.5,1.9785281361607119
Li3 C0.875 S1 N0.875 F0.125,1.9785281361607119
Li3 C0.75 S1 N0.75 Cl0.25,1.9785281361607119
Li3 C0.625 S1 Br0.375 N0.625,1.9785281361607119
Li3 C0.875 S1 N0.875 Cl0.125,1.9785281361607119
Li3 C0.75 S1 Br0.25 N0.75,1.9785281361607119
Na3 B0.875 Cl0.125 O1 F3.5,2.024176174541667
Na3 B0.75 Cl0.25 O1 F3,2.024176174541667
Na3 Al0.25 B0.75 Cl1 O1 F3,2.024176174541667
Na3 Al0.125 B0.875 Cl0.5 O1 F3.5,2.024176174541667
Li3 B1 Te1 F4,2.0553580867361143
Li2 B0.125 H1 O1 F1.375,2.0655730242866683
K3 Al1 O1 F4,2.086633199411774
K3 Al0.875 I0.125 O1 F3.5,2.086633199411774
K3 Al0.875 O1 F3.625,2.086633199411774
K3 Al0.75 O1 F3.25,2.086633199411774
K3 Al0.75 I0.25 O1 F3,2.086633199411774
Na2 Al0.125 B0.875 H1 O1 F4,2.12929675320333
Na2 Al0.375 B0.625 H1 O1 F4,2.12929675320333
Na2 Al0.25 B0.75 H1 O1 F4,2.12929675320333
Li2 B0.25 H1 O1 F1.75,2.1351685478124907
Li2 Al0.5 B0.5 H1 O1 F4,2.151038949592225
Na3 B1 Cl0.5 O1 F3.5,2.171142566874998
Na2 Al0.5 B0.5 H1 O1 F4,2.243300279869988
Li3 B0.625 O1 F2.875,2.307446702812493
Li3 B0.875 O1 F3.625,2.3243140764062504
Li3 B1 O1 F4,2.3243140764062504
Na3 Al0.125 B0.875 O1 F4,2.337470440375001
Na3 Al0.25 B0.75 O1 F4,2.337470440375001
Li2 H1 Br0.5 O1 F0.5,2.341911889166668
Li2 H1 Br0.625 O1 F0.375,2.341911889166668
Li2 H1 Br0.75 O1 F0.25,2.341911889166668
Li2 H1 Br0.75 Cl0.25 O1,2.341911889166668
Li2 H1 Br0.125 Cl0.875 O1,2.3601888437500014
Li3 B0.75 O1 F3.25,2.4423856915625146
Li3 S1 Cl1 O4,2.4813607693750024
Li3 B0.125 Cl1.375 O1,2.499158866187501
