material_id,composition,log_sigma
0,Li3 Cl1 O3.5,-10.258511829376221
1,Li3 B0.5 Se1 C0.5 N0.5 F2,-4.552762675285339
2,Li3 B0.75 Te1 Cl0.25 O1 F3,-4.583003425598145
3,Na3 Al0.875 S1 I0.125 F3.5,-3.192150115966797
4,Na3 Al0.75 S1 I0.25 F3,-3.350982999801636
5,Na3 Al0.625 S1 I0.375 F2.5,-3.459883117675781
6,Na3 Al0.375 S1 F2.125,-4.680890583992005
7,Li3 B0.875 Br0.125 O1 F3.5,-3.4126558780670164
8,Li3 B0.5 H1 N0.5 O1 F2,-4.170214509963989
9,Na3 B0.875 I0.125 O1 F3.5,-3.4457804918289185
10,Na3 B0.75 I0.25 O1 F3,-3.6530908346176147
11,Na3 Al0.5 C0.5 N0.5 O1 F2,-6.5802418231964115
12,Li3 B0.5 H2 I0.5 O3,-3.8277592182159426
13,Na2 Al0.875 H1 I0.125 O1 F3.5,-3.532368874549866
14,Na2 Al0.75 H1 I0.25 O1 F3,-3.7657741785049437
15,Na2 Al0.625 H1 I0.375 O1 F2.5,-3.9065452098846434
16,Na2 Al0.5 H1 I0.5 O1 F2,-4.00644063949585
17,Na2 Al0.375 H1 I0.625 O1 F1.5,-4.070907807350158
18,Li3 B0.875 Te1 F3.625,-5.917087745666504
19,Li3 Te1 Cl1 O3,-9.598225784301757
20,Li2 H1 I0.25 O2 F0.75,-4.039662885665893
21,Li3 B0.5 I0.5 O1 F2,-3.957904553413391
22,K2 Al0.875 H1 I0.125 O1 F3.5,-3.2918115139007567
23,K2 Al0.75 H1 I0.25 O1 F3,-3.4674371242523194
24,K2 Al0.875 H1 Br0.125 O1 F3.5,-3.2778274774551392
25,K2 Al0.75 H1 Br0.25 O1 F3,-3.4392446994781496
26,K2 Al0.625 H1 Br0.375 O1 F2.5,-3.533966851234436
27,Na2 Al0.375 H1 Cl1.5 O1 F0.625,-5.0626572370529175
28,Li3 C0.5 N0.5 Cl0.5 O3,-7.710917949676514
29,Li3 Se1 Cl1 O4,-9.040153884887696
30,Li2 Al0.25 B0.75 H1 Cl1 O1 F3,-3.8309463262557983
31,Li2 H1 I0.125 O1 F0.875,-3.7781119346618652
32,Li2 H1 I0.25 O1 F0.75,-4.04826033115387
33,Li2 H1 I0.375 O1 F0.625,-4.225613927841186
34,Li2 H1 I0.5 O1 F0.5,-4.359609222412109
35,Li2 H1 I0.625 O1 F0.375,-4.407150411605835
36,Na2 Al0.125 B0.875 H1 Cl0.5 O1 F3.5,-3.6875677585601805
37,Li3 B0.5 H2 Cl0.5 O3,-4.596995949745178
38,Na3 B0.875 Br0.125 O1 F3.5,-3.3965795993804933
39,Na3 B0.75 Br0.25 O1 F3,-3.578679919242859
40,Li3 Cl1 O4,-10.217713928222656
41,Li3 B1 Cl0.5 O1 F3.5,-4.686440968513489
42,Li3 C0.625 S1 N0.625 Cl0.375,-4.346354341506958
43,Li3 C0.5 S1 N0.5 Cl0.5,-4.675165033340454
44,Li3 C0.875 S1 N0.875 F0.125,-3.6198038339614866
45,Li3 C0.75 S1 N0.75 Cl0.25,-3.9841835260391236
46,Li3 C0.625 S1 Br0.375 N0.625,-3.5661337852478026
47,Li3 C0.875 S1 N0.875 Cl0.125,-3.6655184745788576
48,Li3 C0.75 S1 Br0.25 N0.75,-3.4167545795440675
49,Na3 B0.875 Cl0.125 O1 F3.5,-4.060412430763245
50,Na3 B0.75 Cl0.25 O1 F3,-4.368190622329712
51,Na3 Al0.25 B0.75 Cl1 O1 F3,-4.235803747177124
52,Na3 Al0.125 B0.875 Cl0.5 O1 F3.5,-4.018968486785889
53,Li3 B1 Te1 F4,-5.967009687423706
54,Li2 B0.125 H1 O1 F1.375,-3.935136556625366
55,K3 Al1 O1 F4,-6.7468033790588375
56,K3 Al0.875 I0.125 O1 F3.5,-3.4464300870895386
57,K3 Al0.875 O1 F3.625,-6.6890593528747555
58,K3 Al0.75 O1 F3.25,-6.605854940414429
59,K3 Al0.75 I0.25 O1 F3,-3.6573485851287844
60,Na2 Al0.125 B0.875 H1 O1 F4,-3.865143084526062
61,Na2 Al0.375 B0.625 H1 O1 F4,-3.9558786869049074
62,Na2 Al0.25 B0.75 H1 O1 F4,-3.925956869125366
63,Li2 B0.25 H1 O1 F1.75,-4.18855881690979
64,Li2 Al0.5 B0.5 H1 O1 F4,-3.9877113819122316
65,Na3 B1 Cl0.5 O1 F3.5,-4.6140289306640625
66,Na2 Al0.5 B0.5 H1 O1 F4,-3.9589380264282226
67,Li3 B0.625 O1 F2.875,-6.32962007522583
68,Li3 B0.875 O1 F3.625,-6.528241777420044
69,Li3 B1 O1 F4,-6.5685200691223145
70,Na3 Al0.125 B0.875 O1 F4,-4.4475634574890135
71,Na3 Al0.25 B0.75 O1 F4,-4.651124262809754
72,Li2 H1 Br0.5 O1 F0.5,-4.140564680099487
73,Li2 H1 Br0.625 O1 F0.375,-4.165653777122498
74,Li2 H1 Br0.75 O1 F0.25,-4.112391066551209
75,Li2 H1 Br0.75 Cl0.25 O1,-4.132833504676819
76,Li2 H1 Br0.125 Cl0.875 O1,-3.781882905960083
77,Li3 B0.75 O1 F3.25,-6.453479433059693
78,Li3 S1 Cl1 O4,-7.064873456954956
79,Li3 B0.125 Cl1.375 O1,-5.329787492752075
